seed:  666
save trained model at:  ../trained_models/trained_classifier_model_19.pt
save loss at:  ./results/train_classifier_results_19.json
how to merge clusters:  [[0, 9, 12, 25], [1, 5, 11, 22], 2, [3, 8, 13, 27], 4, 6, [7, 19, 21], [10, 16, 28], 15, 17, 18, [20, 23], 24, 26, 29]
features to use:  ['x', 'y', 'z', 'r', 'theta', 'phi', 'sasa', 'charge', 'hydrophobicity', 'binding_probability', 'sequence_entropy']
number of epochs:  200
batch size:  256
number of workers to load data:  36
device:  cuda
number of classes after merging:  15
number of pockets in training set:  17282
number of pockets in validation set:  3698
number of pockets in test set:  3720
first 5 pockets in train set of cluster 0 before merging (to verify reproducibility):
['4gi7C01', '6djqD00', '8icoC00', '1ofhB00', '2zceA00']
first 5 pockets in val set of cluster 0 before merging (to verify reproducibility):
['1w46A00', '4j97A00', '4iqlB01', '2wtkB00', '6o7zA00']
first 5 pockets in test set of cluster 0 before merging (to verify reproducibility):
['1tlzA00', '5t5iH01', '5t48A00', '4q5hA00', '5gjcA00']
model architecture:
MoNet(
  (embedding_net): JKEmbeddingNet(
    (conv0): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=11, out_features=96, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=96, out_features=96, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn0): BatchNorm1d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (conv1): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=96, out_features=96, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=96, out_features=96, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn1): BatchNorm1d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (conv2): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=96, out_features=96, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=96, out_features=96, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn2): BatchNorm1d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (set2set): Set2Set(96, 192)
  )
  (fc1): Linear(in_features=192, out_features=96, bias=True)
  (fc2): Linear(in_features=96, out_features=15, bias=True)
)
optimizer:
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.003
    weight_decay: 0.0005
)
learning rate scheduler: 
<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x2b3b60e7dbe0>
initial gamma of FocalLoss:  0
increase gamma of FocalLoss at epochs:  [25, 100, 170]
loss function:
FocalLoss(gamma=0, alpha=tensor([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.],
       device='cuda:0'), reduction=mean)
begin training...
epoch: 1, train loss: 2.0609258763865457, acc: 0.37026964471704665, val loss: 1.816398337443111, acc: 0.42239048134126556, test loss: 1.8214582617564867, acc: 0.4266129032258065
epoch: 22, train loss: 1.036863800400786, acc: 0.6764842032172202, val loss: 1.2254713624796396, acc: 0.6057328285559762, test loss: 1.2110987309486636, acc: 0.6231182795698925
epoch: 23, train loss: 1.0451748640969623, acc: 0.6760212938317325, val loss: 1.1042545864297095, acc: 0.6481882098431585, test loss: 1.112215144147155, acc: 0.65
epoch: 24, train loss: 1.0208910749185114, acc: 0.6844693901168846, val loss: 1.158884701437406, acc: 0.6398053001622499, test loss: 1.15253131774164, acc: 0.6403225806451613
epoch 25, gamma increased to 1.
epoch: 25, train loss: 0.7972381064122287, acc: 0.68597384561972, val loss: 1.0091243918487482, acc: 0.6151974040021634, test loss: 1.026426984417823, acc: 0.614247311827957
epoch: 26, train loss: 0.8039616949993377, acc: 0.68597384561972, val loss: 0.920440895870739, acc: 0.6354786371011357, test loss: 0.9335630914216401, acc: 0.6349462365591397
epoch: 27, train loss: 0.7632283855610293, acc: 0.6977201712764727, val loss: 1.2431524724429075, acc: 0.5535424553812872, test loss: 1.2545847010868851, acc: 0.5494623655913978
epoch: 28, train loss: 0.7784177020128341, acc: 0.6933803957875246, val loss: 0.9148670305362452, acc: 0.649269875608437, test loss: 0.9337924111273981, acc: 0.6529569892473118
epoch: 29, train loss: 0.7565932164257316, acc: 0.6996875361647957, val loss: 0.9152086847469315, acc: 0.6343969713358573, test loss: 0.9289895216623942, acc: 0.6475806451612903
epoch: 30, train loss: 0.7429565600658536, acc: 0.7096979516259693, val loss: 0.8404218699237087, acc: 0.6741481882098431, test loss: 0.8509987467078752, acc: 0.678763440860215
epoch: 31, train loss: 0.7278976184518066, acc: 0.7116653165142923, val loss: 0.9374205965554798, acc: 0.6481882098431585, test loss: 0.9437888473592778, acc: 0.6481182795698924
epoch: 32, train loss: 0.7308385494737324, acc: 0.7065733132739266, val loss: 0.8126214855487054, acc: 0.6790156841535966, test loss: 0.8321509397158059, acc: 0.6774193548387096
epoch: 33, train loss: 0.7101459897595028, acc: 0.7197083670871427, val loss: 0.926057067286201, acc: 0.6552190373174689, test loss: 0.9291423454079577, acc: 0.6440860215053763
epoch: 34, train loss: 0.7073930118967159, acc: 0.7153685915981947, val loss: 0.8203340347809944, acc: 0.6857760951865873, test loss: 0.8133878010575489, acc: 0.6801075268817204
epoch: 35, train loss: 0.7048914597867995, acc: 0.7150792732322648, val loss: 0.8087372207332134, acc: 0.6709031909140075, test loss: 0.8222645251981674, acc: 0.6747311827956989
epoch: 36, train loss: 0.6796306556276309, acc: 0.7242795972688346, val loss: 0.8293302694870498, acc: 0.6790156841535966, test loss: 0.8366290389850576, acc: 0.6811827956989247
epoch: 37, train loss: 0.6905128338204229, acc: 0.7287351001041547, val loss: 0.9109513958187733, acc: 0.6430502974580855, test loss: 0.9218422187271939, acc: 0.6524193548387097
epoch: 38, train loss: 0.6714936665205089, acc: 0.7334220576322185, val loss: 0.871814652608497, acc: 0.6563007030827475, test loss: 0.8867735073130618, acc: 0.6513440860215054
epoch: 39, train loss: 0.6681563264310201, acc: 0.7297187825483161, val loss: 0.8268180253249107, acc: 0.6738777717685235, test loss: 0.8484904340518418, acc: 0.671236559139785
epoch: 40, train loss: 0.651563016018538, acc: 0.7334220576322185, val loss: 0.9609507021225743, acc: 0.6473769605191996, test loss: 0.9961653729920746, acc: 0.649731182795699
epoch: 41, train loss: 0.6480613510761254, acc: 0.7397291980094897, val loss: 0.8414529494300541, acc: 0.6746890210924824, test loss: 0.8863710711079259, acc: 0.6588709677419354
epoch: 42, train loss: 0.6526661241872624, acc: 0.7360837865987733, val loss: 0.8111982986435754, acc: 0.6771227690643591, test loss: 0.7966668913441319, acc: 0.6908602150537635
epoch: 43, train loss: 0.6371870513674756, acc: 0.7460363383867608, val loss: 0.8002806355851351, acc: 0.6879394267171444, test loss: 0.8153351594043035, acc: 0.685752688172043
epoch: 44, train loss: 0.6297101885228642, acc: 0.7470200208309223, val loss: 0.9293412420799952, acc: 0.6590048674959438, test loss: 0.9122914498852145, acc: 0.6620967741935484
epoch: 45, train loss: 0.6357085398813183, acc: 0.743432473093392, val loss: 0.8427289082850554, acc: 0.6768523526230394, test loss: 0.8590962056190737, acc: 0.6717741935483871
epoch: 46, train loss: 0.6562802882440636, acc: 0.7379932878139104, val loss: 0.8742681743648647, acc: 0.6530557057869119, test loss: 0.8879860877990723, acc: 0.657258064516129
epoch: 47, train loss: 0.6273760795248368, acc: 0.7426223816687884, val loss: 0.8215643281611705, acc: 0.6784748512709573, test loss: 0.8409641758088142, acc: 0.6623655913978495
epoch: 48, train loss: 0.6091680154523396, acc: 0.7486980673533156, val loss: 0.8294548662112429, acc: 0.6949702541914549, test loss: 0.8714436679758052, acc: 0.6798387096774193
epoch: 49, train loss: 0.613450710930188, acc: 0.750028931836593, val loss: 0.8669875492077379, acc: 0.6690102758247701, test loss: 0.8660742205958213, acc: 0.668010752688172
epoch: 50, train loss: 0.6019106765144361, acc: 0.75222775141766, val loss: 0.8136111065269871, acc: 0.7028123309897242, test loss: 0.821460053741291, acc: 0.6989247311827957
epoch: 51, train loss: 0.5687872689916171, acc: 0.7662307603286657, val loss: 0.9364799656308361, acc: 0.6457544618712818, test loss: 0.9353966046405094, acc: 0.6483870967741936
epoch: 52, train loss: 0.5644108277444085, acc: 0.767735215831501, val loss: 1.044115813504431, acc: 0.6092482422931315, test loss: 1.0567375700960877, acc: 0.6043010752688172
epoch: 53, train loss: 0.5642119056647912, acc: 0.7686610346024766, val loss: 0.7891267964232607, acc: 0.6944294213088156, test loss: 0.798610492419171, acc: 0.7029569892473119
epoch: 54, train loss: 0.575515869156021, acc: 0.7629903946302511, val loss: 0.8183886099661151, acc: 0.6871281773931855, test loss: 0.8502109814715642, acc: 0.6806451612903226
epoch: 55, train loss: 0.5903378229507651, acc: 0.7575512093507696, val loss: 0.8301702859660881, acc: 0.6844240129799892, test loss: 0.8376582914783108, acc: 0.6881720430107527
epoch: 56, train loss: 0.5546357677347364, acc: 0.7704548084712417, val loss: 0.7952242958797127, acc: 0.6971335857220119, test loss: 0.7959222644887944, acc: 0.7032258064516129
epoch: 57, train loss: 0.5494910760784492, acc: 0.7751996296724916, val loss: 0.8227100168581973, acc: 0.6873985938345052, test loss: 0.8270636209877589, acc: 0.6905913978494623
epoch: 58, train loss: 0.5567709158904685, acc: 0.7705126721444278, val loss: 0.8235615736217097, acc: 0.6841535965386696, test loss: 0.8086571431929065, acc: 0.6903225806451613
epoch: 59, train loss: 0.5591308866823566, acc: 0.7715542182617753, val loss: 0.9242173696995555, acc: 0.6541373715521904, test loss: 0.9626906446231309, acc: 0.6559139784946236
epoch: 60, train loss: 0.5424090816927458, acc: 0.7757204027311654, val loss: 0.8376387359645961, acc: 0.7006489994591671, test loss: 0.8170919628553494, acc: 0.7005376344086022
epoch: 61, train loss: 0.5435608889256179, acc: 0.7757204027311654, val loss: 0.8606666735921956, acc: 0.6703623580313683, test loss: 0.8759204387664795, acc: 0.6650537634408602
Epoch    61: reducing learning rate of group 0 to 1.5000e-03.
epoch: 62, train loss: 0.47708842424231124, acc: 0.7973035528295336, val loss: 0.7350076455693428, acc: 0.725797728501893, test loss: 0.7512384604382258, acc: 0.7201612903225807
epoch: 63, train loss: 0.40668099157071586, acc: 0.825193843305173, val loss: 0.7653913143327135, acc: 0.7152514872904273, test loss: 0.7698009778094548, acc: 0.7188172043010753
epoch: 64, train loss: 0.38659468731550745, acc: 0.8332947575512093, val loss: 0.7618301919242896, acc: 0.7255273120605733, test loss: 0.7644744242391278, acc: 0.7263440860215054
epoch: 65, train loss: 0.3910898956356053, acc: 0.8307487559310265, val loss: 0.7919506329082037, acc: 0.714710654407788, test loss: 0.7847733677074473, acc: 0.7158602150537634
epoch: 66, train loss: 0.3809480553437074, acc: 0.8350885314199745, val loss: 0.8019108233289373, acc: 0.7282314764737696, test loss: 0.8269791346724316, acc: 0.725
epoch: 67, train loss: 0.37690989342901304, acc: 0.8365929869228098, val loss: 0.8039117612472543, acc: 0.722823147647377, test loss: 0.8138784608533306, acc: 0.7263440860215054
epoch: 68, train loss: 0.3656994461730431, acc: 0.8395440342552946, val loss: 0.8567681050803482, acc: 0.722823147647377, test loss: 0.867423774350074, acc: 0.725268817204301
epoch: 69, train loss: 0.3515342574348026, acc: 0.8466612660571693, val loss: 0.8130621487156903, acc: 0.7244456462952947, test loss: 0.8052203562951857, acc: 0.7260752688172043
epoch: 70, train loss: 0.3486133117895686, acc: 0.8475292211549589, val loss: 0.8424850417962907, acc: 0.7182260681449432, test loss: 0.8523690321112192, acc: 0.7225806451612903
epoch: 71, train loss: 0.3701855433634235, acc: 0.8398333526212244, val loss: 0.9405568645347319, acc: 0.6974040021633315, test loss: 0.8963817288798671, acc: 0.6983870967741935
epoch: 72, train loss: 0.34211884115308183, acc: 0.8512324962388612, val loss: 0.907231632086185, acc: 0.7060573282855598, test loss: 0.9223571023633403, acc: 0.7045698924731183
epoch: 73, train loss: 0.3425485935942082, acc: 0.8521583150098369, val loss: 0.8178285825181614, acc: 0.7298539751216874, test loss: 0.8265151316119779, acc: 0.7212365591397849
epoch: 74, train loss: 0.33373083873502, acc: 0.8514060872584192, val loss: 0.8516203938077243, acc: 0.7144402379664684, test loss: 0.8628964265187581, acc: 0.7217741935483871
epoch: 75, train loss: 0.33314115247741893, acc: 0.851926860317093, val loss: 0.8398412556955143, acc: 0.7325581395348837, test loss: 0.8392220902186568, acc: 0.728225806451613
epoch: 76, train loss: 0.3131186101167873, acc: 0.8622844578173823, val loss: 0.8795977292543105, acc: 0.7141698215251487, test loss: 0.8715768511577319, acc: 0.7215053763440861
epoch: 77, train loss: 0.32058767880392963, acc: 0.8556879990741812, val loss: 0.9071956672431198, acc: 0.7155219037317468, test loss: 0.9006213111262168, acc: 0.7201612903225807
epoch: 78, train loss: 0.315332514298016, acc: 0.8625737761833121, val loss: 0.8246924427150069, acc: 0.7090319091400757, test loss: 0.8358624078894175, acc: 0.7099462365591398
epoch: 79, train loss: 0.3253693614461579, acc: 0.8552250896886935, val loss: 0.8904637364582992, acc: 0.6987560843699296, test loss: 0.8934957550417992, acc: 0.7032258064516129
epoch: 80, train loss: 0.3119846316188757, acc: 0.8633838676079157, val loss: 0.9342511664731493, acc: 0.7128177393185505, test loss: 0.9549592320637036, acc: 0.7083333333333334
epoch: 81, train loss: 0.3009376459245314, acc: 0.8665085059599583, val loss: 0.8558519428133513, acc: 0.7217414818820984, test loss: 0.8721037177629368, acc: 0.7161290322580646
epoch: 82, train loss: 0.3087742822084172, acc: 0.8603749566022451, val loss: 0.897143487997349, acc: 0.722823147647377, test loss: 0.8690971656512189, acc: 0.7225806451612903
epoch: 83, train loss: 0.3165626895157307, acc: 0.8598541835435713, val loss: 0.9212019113413767, acc: 0.7120064899945917, test loss: 0.9292370514203143, acc: 0.7118279569892473
epoch: 84, train loss: 0.30591643948878366, acc: 0.8632102765883578, val loss: 0.9066244583635346, acc: 0.7044348296376419, test loss: 0.9010630397386449, acc: 0.714516129032258
epoch: 85, train loss: 0.2970675598304452, acc: 0.8689387802337692, val loss: 1.0952177166358532, acc: 0.6565711195240671, test loss: 1.105014080642372, acc: 0.6548387096774193
epoch: 86, train loss: 0.32301170903766424, acc: 0.8590440921189677, val loss: 0.9032162159052716, acc: 0.722823147647377, test loss: 0.9304197070419148, acc: 0.7147849462365592
epoch: 87, train loss: 0.2850386419842991, acc: 0.8698067353315588, val loss: 0.9402732529338468, acc: 0.7138994050838291, test loss: 0.923801484159244, acc: 0.7188172043010753
epoch: 88, train loss: 0.2941599601487183, acc: 0.8693438259460711, val loss: 0.8533854258905043, acc: 0.7230935640886966, test loss: 0.8702302871211882, acc: 0.7258064516129032
epoch: 89, train loss: 0.28694906607641, acc: 0.87165837287351, val loss: 0.929658277154678, acc: 0.7065981611681991, test loss: 0.9429046635986656, acc: 0.7129032258064516
epoch: 90, train loss: 0.27664399436400067, acc: 0.8744358291864368, val loss: 0.9384504276201363, acc: 0.7184964845862628, test loss: 0.9264495013862528, acc: 0.7260752688172043
epoch: 91, train loss: 0.3168747888065546, acc: 0.8591598194653397, val loss: 1.0055335216615058, acc: 0.6846944294213089, test loss: 1.0220104991748769, acc: 0.6811827956989247
epoch: 92, train loss: 0.30967548932414984, acc: 0.8615322300659646, val loss: 0.8948372109249645, acc: 0.714710654407788, test loss: 0.9144087391514932, acc: 0.7118279569892473
epoch: 93, train loss: 0.2749513924301202, acc: 0.8743201018400648, val loss: 0.9141356705200872, acc: 0.7201189832341807, test loss: 0.9355640185776577, acc: 0.7204301075268817
epoch: 94, train loss: 0.26383220114071687, acc: 0.8775604675384794, val loss: 0.9949110032675265, acc: 0.696322336398053, test loss: 0.977149772644043, acc: 0.7051075268817204
epoch: 95, train loss: 0.3160819130050903, acc: 0.8582340006943641, val loss: 0.8731331421659726, acc: 0.7295835586803677, test loss: 0.889871015856343, acc: 0.7241935483870968
epoch: 96, train loss: 0.26648505338501177, acc: 0.88056937854415, val loss: 0.9035389843729782, acc: 0.7287723093564089, test loss: 0.8979052656440325, acc: 0.7317204301075269
epoch: 97, train loss: 0.2626111719042956, acc: 0.8816109246614975, val loss: 0.8744264583835221, acc: 0.7244456462952947, test loss: 0.8839857409077306, acc: 0.7217741935483871
epoch: 98, train loss: 0.2663026030586351, acc: 0.8791227867145006, val loss: 0.9445504234441878, acc: 0.7171444023796647, test loss: 0.9353156946038688, acc: 0.7236559139784946
epoch: 99, train loss: 0.2441684225204021, acc: 0.889364656868418, val loss: 0.8965614126978081, acc: 0.7309356408869659, test loss: 0.8857696128147905, acc: 0.7255376344086022
epoch 100, gamma increased to 2.
epoch: 100, train loss: 0.17957554735521822, acc: 0.8881495197315126, val loss: 0.7985504135175161, acc: 0.7239048134126554, test loss: 0.7788808566267772, acc: 0.7231182795698925
epoch: 101, train loss: 0.18731032662846372, acc: 0.882768198125217, val loss: 0.769808085819655, acc: 0.714710654407788, test loss: 0.817669956145748, acc: 0.7150537634408602
epoch: 102, train loss: 0.17224251815613573, acc: 0.8868186552482351, val loss: 0.8279806724298703, acc: 0.7163331530557058, test loss: 0.8301456677016391, acc: 0.717741935483871
epoch: 103, train loss: 0.16175346589173975, acc: 0.8937044323573661, val loss: 0.7934895414091433, acc: 0.7320173066522444, test loss: 0.8160152937776299, acc: 0.7271505376344086
epoch: 104, train loss: 0.17270795320308452, acc: 0.8882073834046985, val loss: 0.8053395066021455, acc: 0.7190373174689021, test loss: 0.8107455463819606, acc: 0.7172043010752688
epoch: 105, train loss: 0.17786090607107025, acc: 0.8867607915750492, val loss: 0.757978519212239, acc: 0.717685235262304, test loss: 0.7714349469830913, acc: 0.7231182795698925
epoch: 106, train loss: 0.1745102646111918, acc: 0.8856035181113298, val loss: 0.8792959149300311, acc: 0.7160627366143861, test loss: 0.8704694055741833, acc: 0.7137096774193549
epoch: 107, train loss: 0.15585912803562824, acc: 0.8978706168267562, val loss: 0.8019717403719269, acc: 0.7201189832341807, test loss: 0.8046692971260317, acc: 0.7247311827956989
epoch: 108, train loss: 0.15427606757792758, acc: 0.8976970258071982, val loss: 0.8610045029189923, acc: 0.709572742022715, test loss: 0.8732782656146634, acc: 0.7104838709677419
epoch: 109, train loss: 0.1570425920206534, acc: 0.8935308413378081, val loss: 0.9235952029426785, acc: 0.7141698215251487, test loss: 0.9420312635360225, acc: 0.7118279569892473
epoch: 110, train loss: 0.1638857931288397, acc: 0.8926628862400185, val loss: 0.8342008701590604, acc: 0.7071389940508382, test loss: 0.8480111845078007, acc: 0.7016129032258065
epoch: 111, train loss: 0.17076199105383, acc: 0.8865872005554912, val loss: 0.8034763049924613, acc: 0.7157923201730665, test loss: 0.8259095335519442, acc: 0.7266129032258064
epoch: 112, train loss: 0.1479700664902241, acc: 0.898217798865872, val loss: 0.9725001274797966, acc: 0.6957815035154138, test loss: 0.9588174455909318, acc: 0.6983870967741935
Epoch   112: reducing learning rate of group 0 to 7.5000e-04.
epoch: 113, train loss: 0.12764183953516517, acc: 0.9107742159472283, val loss: 0.8308790128510858, acc: 0.7317468902109249, test loss: 0.8409684909287319, acc: 0.7325268817204301
epoch: 114, train loss: 0.09423319727247918, acc: 0.9251244068973499, val loss: 0.882353281961898, acc: 0.7379664683612763, test loss: 0.9115418070106096, acc: 0.7319892473118279
epoch: 115, train loss: 0.08513704530602459, acc: 0.9340354125679898, val loss: 0.9809301438494075, acc: 0.7314764737696052, test loss: 0.9701446497312156, acc: 0.7325268817204301
epoch: 116, train loss: 0.08175318407625763, acc: 0.9364078231686147, val loss: 0.9625743657850201, acc: 0.7339102217414819, test loss: 0.9459671025635094, acc: 0.7314516129032258
epoch: 117, train loss: 0.07937100801706148, acc: 0.9376229603055202, val loss: 1.0381584479526418, acc: 0.7187669010275824, test loss: 1.075867812351514, acc: 0.7196236559139785
epoch: 118, train loss: 0.08021944754723252, acc: 0.9373336419395903, val loss: 0.9715684132037, acc: 0.7376960519199567, test loss: 0.9895911452590779, acc: 0.7333333333333333
epoch: 119, train loss: 0.08900448973256672, acc: 0.9309107742159473, val loss: 1.0296092832842796, acc: 0.7166035694970254, test loss: 1.0265463952095277, acc: 0.7190860215053764
epoch: 120, train loss: 0.08739677020354536, acc: 0.9320680476796667, val loss: 0.9683713156059022, acc: 0.72796106003245, test loss: 0.9771675817428097, acc: 0.728494623655914
