seed:  666
save trained model at:  ../trained_models/trained_classifier_model_20.pt
save loss at:  ./results/train_classifier_results_20.json
how to merge clusters:  [[0, 9, 12, 25], [1, 5, 11, 22], 2, [3, 8, 13, 27], 4, 6, [7, 19, 21], [10, 16, 28], 15, 17, 18, [20, 23], 24, 26, 29]
features to use:  ['x', 'y', 'z', 'r', 'theta', 'phi', 'sasa', 'charge', 'hydrophobicity', 'binding_probability', 'sequence_entropy']
number of epochs:  200
batch size:  256
number of workers to load data:  36
device:  cuda
number of classes after merging:  15
number of pockets in training set:  17282
number of pockets in validation set:  3698
number of pockets in test set:  3720
first 5 pockets in train set of cluster 0 before merging (to verify reproducibility):
['4gi7C01', '6djqD00', '8icoC00', '1ofhB00', '2zceA00']
first 5 pockets in val set of cluster 0 before merging (to verify reproducibility):
['1w46A00', '4j97A00', '4iqlB01', '2wtkB00', '6o7zA00']
first 5 pockets in test set of cluster 0 before merging (to verify reproducibility):
['1tlzA00', '5t5iH01', '5t48A00', '4q5hA00', '5gjcA00']
model architecture:
MoNet(
  (embedding_net): JKEmbeddingNet(
    (conv0): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=11, out_features=64, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=64, out_features=64, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn0): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (conv1): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=64, out_features=64, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=64, out_features=64, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (conv2): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=64, out_features=64, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=64, out_features=64, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn2): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (set2set): Set2Set(64, 128)
  )
  (fc1): Linear(in_features=128, out_features=64, bias=True)
  (fc2): Linear(in_features=64, out_features=15, bias=True)
)
optimizer:
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.003
    weight_decay: 0.0005
)
learning rate scheduler: 
<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x2ac8dae74be0>
initial gamma of FocalLoss:  0
increase gamma of FocalLoss at epochs:  [25, 100, 170]
loss function:
FocalLoss(gamma=0, alpha=tensor([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.],
       device='cuda:0'), reduction=mean)
begin training...
epoch: 1, train loss: 2.106782863225916, acc: 0.36251591251012616, val loss: 1.8479453774643564, acc: 0.42239048134126556, test loss: 1.8615152312863257, acc: 0.4163978494623656
epoch: 22, train loss: 1.2127838414819851, acc: 0.6208193496123134, val loss: 1.3675518382749665, acc: 0.5703082747431044, test loss: 1.383845474386728, acc: 0.5744623655913978
epoch: 23, train loss: 1.197301585011261, acc: 0.6292674458974655, val loss: 1.2492103722367562, acc: 0.5976203353163873, test loss: 1.2593457996204336, acc: 0.5889784946236559
epoch: 24, train loss: 1.1790133089727308, acc: 0.6301354009952552, val loss: 1.2377498691439177, acc: 0.6024878312601406, test loss: 1.2311893822044455, acc: 0.603494623655914
epoch 25, gamma increased to 1.
epoch: 25, train loss: 0.9460010557397622, acc: 0.6329707209813679, val loss: 0.9797027319943731, acc: 0.6146565711195241, test loss: 0.9932833240878197, acc: 0.6088709677419355
epoch: 26, train loss: 0.9297887462389275, acc: 0.6407244531882884, val loss: 0.9356752171782045, acc: 0.6203353163872364, test loss: 0.9397034316934565, acc: 0.6163978494623656
epoch: 27, train loss: 0.9105857185654694, acc: 0.6432125911352853, val loss: 0.9869165380559398, acc: 0.6119524067063278, test loss: 0.9789371562260454, acc: 0.6153225806451613
epoch: 28, train loss: 0.9093966463583099, acc: 0.6408980442078464, val loss: 0.9294085064212847, acc: 0.6300703082747431, test loss: 0.9678130667696717, acc: 0.6190860215053764
epoch: 29, train loss: 0.9026531152890217, acc: 0.6434440458280292, val loss: 0.9538112733736755, acc: 0.6222282314764738, test loss: 0.9631201441569995, acc: 0.6169354838709677
epoch: 30, train loss: 0.890706637373071, acc: 0.6478995486633492, val loss: 0.9682118103528681, acc: 0.6227690643591131, test loss: 0.975270620469124, acc: 0.6190860215053764
epoch: 31, train loss: 0.8851071454876897, acc: 0.650503413956718, val loss: 0.9379442964391879, acc: 0.6292590589507842, test loss: 0.9378841451419297, acc: 0.6271505376344086
epoch: 32, train loss: 0.8641758406138809, acc: 0.6534544612892026, val loss: 0.9806552619273886, acc: 0.6157382368848026, test loss: 0.968169645596576, acc: 0.6206989247311828
epoch: 33, train loss: 0.8587504197651418, acc: 0.659182964934614, val loss: 1.2064917030819304, acc: 0.5508382909680909, test loss: 1.211616559182444, acc: 0.5575268817204301
epoch: 34, train loss: 0.8652855268149392, acc: 0.6566369633144312, val loss: 0.9154878535613683, acc: 0.6352082206598161, test loss: 0.9398874841710573, acc: 0.6319892473118279
epoch: 35, train loss: 0.839479661735585, acc: 0.6652586506191414, val loss: 0.9902215499114577, acc: 0.6127636560302866, test loss: 0.9916541730203936, acc: 0.6209677419354839
epoch: 36, train loss: 0.8670485073625317, acc: 0.6607452841106354, val loss: 0.9192264523617056, acc: 0.6297998918334234, test loss: 0.9382190155726607, acc: 0.635483870967742
epoch: 37, train loss: 0.8310322963643745, acc: 0.6693091077421595, val loss: 0.9078987098629892, acc: 0.644131963223364, test loss: 0.94792663615237, acc: 0.635752688172043
epoch: 38, train loss: 0.8210443301673234, acc: 0.6717972456891563, val loss: 0.9842532722933219, acc: 0.6233098972417523, test loss: 1.0152426965775028, acc: 0.610752688172043
epoch: 39, train loss: 0.8065215285322951, acc: 0.6758477028121745, val loss: 0.9365492987594068, acc: 0.6349378042184964, test loss: 0.9541995007504699, acc: 0.6279569892473118
epoch: 40, train loss: 0.8135224038590824, acc: 0.6750954750607568, val loss: 0.8639003771456465, acc: 0.6600865332612222, test loss: 0.88762331316548, acc: 0.6448924731182796
epoch: 41, train loss: 0.8060592347970509, acc: 0.6819812521698877, val loss: 1.1712825081682385, acc: 0.5570578691184424, test loss: 1.1753616676535659, acc: 0.5653225806451613
epoch: 42, train loss: 0.8091130474901989, acc: 0.6777572040273117, val loss: 0.9024534424038563, acc: 0.6454840454299622, test loss: 0.9257139954515683, acc: 0.6306451612903226
epoch: 43, train loss: 0.7778797692728876, acc: 0.6860317092929059, val loss: 0.8795419469145326, acc: 0.6657652785289345, test loss: 0.8920119367619996, acc: 0.6586021505376344
epoch: 44, train loss: 0.8445051780882126, acc: 0.6632334220576322, val loss: 0.8711818909890076, acc: 0.6552190373174689, test loss: 0.9072877201982724, acc: 0.6451612903225806
epoch: 45, train loss: 0.788408800202544, acc: 0.6851058905219304, val loss: 0.9033484850914947, acc: 0.6479177934018389, test loss: 0.9318092284664031, acc: 0.6306451612903226
epoch: 46, train loss: 0.7614392417956938, acc: 0.6929753500752228, val loss: 0.8659396829187322, acc: 0.6654948620876149, test loss: 0.8810992948470577, acc: 0.6583333333333333
epoch: 47, train loss: 0.7595416131208318, acc: 0.6966786251591252, val loss: 0.8993227409633061, acc: 0.6362898864250947, test loss: 0.9172652085622152, acc: 0.6327956989247312
epoch: 48, train loss: 0.7583415992432978, acc: 0.6947691239439879, val loss: 0.953304798684293, acc: 0.6343969713358573, test loss: 0.9795897545353058, acc: 0.6188172043010752
epoch: 49, train loss: 0.7426617459668121, acc: 0.7015970373799328, val loss: 0.8184408168008741, acc: 0.6730665224445647, test loss: 0.8372113791845178, acc: 0.6682795698924732
epoch: 50, train loss: 0.7728068930188645, acc: 0.692570304362921, val loss: 0.890012236657563, acc: 0.6500811249323959, test loss: 0.9069099395505844, acc: 0.65
epoch: 51, train loss: 0.7427050698039405, acc: 0.7023492651313505, val loss: 0.8345750440707911, acc: 0.6703623580313683, test loss: 0.879943807150728, acc: 0.6629032258064517
epoch: 52, train loss: 0.7250990431806222, acc: 0.7070362226594145, val loss: 0.8283899752367762, acc: 0.673607355327204, test loss: 0.846649544726136, acc: 0.6655913978494624
epoch: 53, train loss: 0.7392528767580788, acc: 0.7042587663464877, val loss: 0.8448473730236856, acc: 0.6746890210924824, test loss: 0.8731462832420103, acc: 0.6618279569892473
epoch: 54, train loss: 0.7372127559888336, acc: 0.7026964471704664, val loss: 0.8988182683968428, acc: 0.638182801514332, test loss: 0.9080219294435234, acc: 0.6352150537634409
epoch: 55, train loss: 0.7201791306900048, acc: 0.7105080430505728, val loss: 0.941952168329011, acc: 0.6457544618712818, test loss: 0.9804758558991135, acc: 0.6255376344086021
epoch: 56, train loss: 0.7118923343134318, acc: 0.7143849091540331, val loss: 0.8132069299129489, acc: 0.6746890210924824, test loss: 0.830984244808074, acc: 0.6647849462365591
epoch: 57, train loss: 0.7001197471371432, acc: 0.716930910774216, val loss: 0.8658020915438382, acc: 0.6798269334775554, test loss: 0.8865984988468949, acc: 0.6658602150537635
epoch: 58, train loss: 0.7131061614311592, acc: 0.7150792732322648, val loss: 0.8835895890606745, acc: 0.6714440237966468, test loss: 0.9250578111217868, acc: 0.6478494623655914
epoch: 59, train loss: 0.7103261274122113, acc: 0.7169887744474019, val loss: 0.8457549073491114, acc: 0.6590048674959438, test loss: 0.8640701729764221, acc: 0.6639784946236559
epoch: 60, train loss: 0.6981616356612603, acc: 0.7179724568915635, val loss: 0.9033924446291637, acc: 0.6535965386695511, test loss: 0.8964388360259353, acc: 0.6435483870967742
epoch: 61, train loss: 0.7026783164735884, acc: 0.716930910774216, val loss: 0.8033563418927355, acc: 0.6873985938345052, test loss: 0.8287548818895893, acc: 0.6766129032258065
epoch: 62, train loss: 0.6702566032931976, acc: 0.7248582340006944, val loss: 0.8811478619964913, acc: 0.6619794483504597, test loss: 0.8825292592407554, acc: 0.6631720430107527
epoch: 63, train loss: 0.6733855343074686, acc: 0.7274042356208772, val loss: 0.8034821171706402, acc: 0.686046511627907, test loss: 0.8338250611418037, acc: 0.6776881720430108
epoch: 64, train loss: 0.6965670245290562, acc: 0.7201134127994445, val loss: 0.8502005463100369, acc: 0.6636019469983775, test loss: 0.8737247308095296, acc: 0.6548387096774193
epoch: 65, train loss: 0.6810845949213589, acc: 0.7215600046290939, val loss: 0.8789913589855088, acc: 0.6746890210924824, test loss: 0.8967729055753318, acc: 0.6623655913978495
epoch: 66, train loss: 0.6734146046398443, acc: 0.7282721907186668, val loss: 0.8801620813754522, acc: 0.6622498647917794, test loss: 0.8735764216351253, acc: 0.6543010752688172
epoch: 67, train loss: 0.6568067273446881, acc: 0.730123828260618, val loss: 0.7763485473964974, acc: 0.6995673336938886, test loss: 0.7990170130165675, acc: 0.6900537634408602
epoch: 68, train loss: 0.6537423112535625, acc: 0.734579331095938, val loss: 0.8104360400179775, acc: 0.6955110870740941, test loss: 0.8503258228302002, acc: 0.675
epoch: 69, train loss: 0.6592296109736455, acc: 0.7338271033445203, val loss: 0.7929580175534914, acc: 0.6949702541914549, test loss: 0.8176033978821129, acc: 0.6793010752688172
epoch: 70, train loss: 0.6844963555175416, acc: 0.7251475523666242, val loss: 0.8311909249565161, acc: 0.678745267712277, test loss: 0.8542981532312208, acc: 0.6650537634408602
epoch: 71, train loss: 0.6532739418936112, acc: 0.7341742853836362, val loss: 0.8341427056966052, acc: 0.6901027582477015, test loss: 0.8658970386751237, acc: 0.6798387096774193
epoch: 72, train loss: 0.6515133104767461, acc: 0.7343478764031941, val loss: 0.821051885915357, acc: 0.69118442401298, test loss: 0.8140231173525574, acc: 0.6836021505376344
epoch: 73, train loss: 0.6319062039816549, acc: 0.7419280175905566, val loss: 0.8355599022221089, acc: 0.6857760951865873, test loss: 0.8667785326639811, acc: 0.6766129032258065
epoch: 74, train loss: 0.6452724901928475, acc: 0.736546695984261, val loss: 0.9011666482045497, acc: 0.6760411032990806, test loss: 0.9260350406810801, acc: 0.6669354838709678
epoch: 75, train loss: 0.6299604904167411, acc: 0.7423909269760445, val loss: 0.786363031620461, acc: 0.6936181719848566, test loss: 0.8013222438032909, acc: 0.6811827956989247
epoch: 76, train loss: 0.637532317821881, acc: 0.7423909269760445, val loss: 0.8519128659662523, acc: 0.6671173607355327, test loss: 0.8715789282193748, acc: 0.6596774193548387
epoch: 77, train loss: 0.6351127573536332, acc: 0.7407707441268372, val loss: 0.8719334523699747, acc: 0.6625202812330989, test loss: 0.8954561469375446, acc: 0.6655913978494624
epoch: 78, train loss: 0.6091336151223922, acc: 0.747945839601898, val loss: 0.8489893171321772, acc: 0.6709031909140075, test loss: 0.8678035331028764, acc: 0.6674731182795699
Epoch    78: reducing learning rate of group 0 to 1.5000e-03.
epoch: 79, train loss: 0.5416915167358901, acc: 0.7759518574239093, val loss: 0.7676433494376002, acc: 0.7141698215251487, test loss: 0.7866953075573009, acc: 0.6978494623655914
epoch: 80, train loss: 0.5122721454581513, acc: 0.785441499826409, val loss: 0.7952502227719247, acc: 0.7122769064359114, test loss: 0.8120057018854285, acc: 0.7080645161290322
epoch: 81, train loss: 0.5046213465064726, acc: 0.7882189561393357, val loss: 0.8012286886903258, acc: 0.7087614926987561, test loss: 0.8183317394666775, acc: 0.6986559139784946
epoch: 82, train loss: 0.4974152152426002, acc: 0.7896076842957991, val loss: 0.820952873864388, acc: 0.6976744186046512, test loss: 0.8577249003994849, acc: 0.6860215053763441
epoch: 83, train loss: 0.49673025517838376, acc: 0.7900705936812868, val loss: 0.8679847630892269, acc: 0.6914548404542996, test loss: 0.8496247629965505, acc: 0.6967741935483871
epoch: 84, train loss: 0.4988277215756775, acc: 0.7892605022566832, val loss: 0.8098069310123821, acc: 0.7079502433747972, test loss: 0.8095762073352772, acc: 0.7077956989247312
epoch: 85, train loss: 0.5016632227416999, acc: 0.7885082745052656, val loss: 0.869498610303104, acc: 0.6841535965386696, test loss: 0.8827332137733377, acc: 0.681989247311828
epoch: 86, train loss: 0.4976801762094157, acc: 0.7872352736951742, val loss: 0.799768253943287, acc: 0.7060573282855598, test loss: 0.8014615648536272, acc: 0.7080645161290322
epoch: 87, train loss: 0.4794595698669627, acc: 0.7957990973266983, val loss: 0.8942033143350406, acc: 0.686046511627907, test loss: 0.865995515290127, acc: 0.6913978494623656
epoch: 88, train loss: 0.47656881227742715, acc: 0.7967249160976739, val loss: 0.8417845429956365, acc: 0.7003785830178475, test loss: 0.8386168541446809, acc: 0.7024193548387097
epoch: 89, train loss: 0.47674030520107274, acc: 0.8000810091424604, val loss: 0.8547630729128568, acc: 0.7020010816657652, test loss: 0.8675852032117947, acc: 0.6932795698924731
epoch: 90, train loss: 0.47764653707596316, acc: 0.7971299618099758, val loss: 0.95844537016506, acc: 0.6679286100594917, test loss: 0.9863955913051482, acc: 0.668010752688172
epoch: 91, train loss: 0.47705193917765937, acc: 0.7992709177178567, val loss: 0.821551056795342, acc: 0.7125473228772309, test loss: 0.831940145390008, acc: 0.7026881720430107
epoch: 92, train loss: 0.4596434122447462, acc: 0.8036685568799907, val loss: 0.8359093210902196, acc: 0.7076798269334775, test loss: 0.8459077189045567, acc: 0.6994623655913978
epoch: 93, train loss: 0.4515775131925418, acc: 0.8063881495197315, val loss: 0.8512205684294631, acc: 0.7117360735532721, test loss: 0.8560179879588465, acc: 0.7053763440860215
epoch: 94, train loss: 0.4523973321972615, acc: 0.8086448327739845, val loss: 0.8756760768209554, acc: 0.6952406706327745, test loss: 0.8667877469011532, acc: 0.692741935483871
epoch: 95, train loss: 0.4583053520509124, acc: 0.8057516491146858, val loss: 0.9274717447498543, acc: 0.6879394267171444, test loss: 0.9465358339330201, acc: 0.6768817204301075
epoch: 96, train loss: 0.46362222486065985, acc: 0.8049994213632682, val loss: 0.848837542882025, acc: 0.701460248783126, test loss: 0.8362174757065312, acc: 0.7075268817204301
epoch: 97, train loss: 0.44960281608447117, acc: 0.809512787871774, val loss: 0.8818237290245704, acc: 0.7003785830178475, test loss: 0.8990544139697988, acc: 0.6911290322580645
epoch: 98, train loss: 0.44365901700628946, acc: 0.8102071519500058, val loss: 0.9497445938456954, acc: 0.6990265008112493, test loss: 0.9633375552392776, acc: 0.689247311827957
epoch: 99, train loss: 0.4377547180006976, acc: 0.8115958801064692, val loss: 0.8502370368602664, acc: 0.7009194159004868, test loss: 0.8910590115413871, acc: 0.689247311827957
epoch 100, gamma increased to 2.
epoch: 100, train loss: 0.3356102984831877, acc: 0.8127531535701886, val loss: 0.7302205514237325, acc: 0.7049756625202812, test loss: 0.7167983642188451, acc: 0.7075268817204301
epoch: 101, train loss: 0.3389636089115862, acc: 0.811769471126027, val loss: 0.723224271111001, acc: 0.7101135749053542, test loss: 0.7507653064625237, acc: 0.6997311827956989
epoch: 102, train loss: 0.33132120930352515, acc: 0.8126374262238167, val loss: 0.7749730750249488, acc: 0.6987560843699296, test loss: 0.7783828617424093, acc: 0.6879032258064516
epoch: 103, train loss: 0.31999610904369236, acc: 0.8161092466149751, val loss: 0.7394687858641373, acc: 0.7030827474310438, test loss: 0.7516952555666687, acc: 0.7008064516129032
epoch: 104, train loss: 0.3208513752051959, acc: 0.8204490221039231, val loss: 0.7650312467031443, acc: 0.6995673336938886, test loss: 0.7601660559254307, acc: 0.693010752688172
epoch: 105, train loss: 0.3202653900228597, acc: 0.8178451568105544, val loss: 0.7333508498479122, acc: 0.7087614926987561, test loss: 0.7300096240094913, acc: 0.693010752688172
epoch: 106, train loss: 0.335301822740548, acc: 0.8063881495197315, val loss: 0.7669567758164063, acc: 0.7041644131963224, test loss: 0.7872341730261362, acc: 0.6913978494623656
epoch: 107, train loss: 0.34356331296878173, acc: 0.8062724221733596, val loss: 0.7120176859324916, acc: 0.7063277447268794, test loss: 0.7186517092489427, acc: 0.6956989247311828
epoch: 108, train loss: 0.33859315113452365, acc: 0.8088762874667283, val loss: 0.7956057907504737, acc: 0.6838831800973499, test loss: 0.7910423219844859, acc: 0.6782258064516129
epoch: 109, train loss: 0.34617390118115976, acc: 0.8033792385140609, val loss: 0.7965866486532357, acc: 0.688209843158464, test loss: 0.7830074351320985, acc: 0.6943548387096774
epoch: 110, train loss: 0.3426828083065204, acc: 0.8099756972572619, val loss: 0.8101890391436959, acc: 0.6984856679286101, test loss: 0.8044963288050826, acc: 0.6884408602150538
epoch: 111, train loss: 0.3235762029931082, acc: 0.8158777919222312, val loss: 0.7918178839190965, acc: 0.6965927528393726, test loss: 0.825743176347466, acc: 0.6836021505376344
epoch: 112, train loss: 0.32467526678561115, acc: 0.8149519731512557, val loss: 0.7351848629115401, acc: 0.7028123309897242, test loss: 0.7471479421020836, acc: 0.6981182795698925
epoch: 113, train loss: 0.33248518319569204, acc: 0.8067931952320333, val loss: 0.7232522655010482, acc: 0.7017306652244456, test loss: 0.7448668033845963, acc: 0.7021505376344086
epoch: 114, train loss: 0.32386503306448894, acc: 0.8132160629556764, val loss: 0.7930015665315305, acc: 0.6919956733369389, test loss: 0.8198305868333385, acc: 0.6790322580645162
epoch: 115, train loss: 0.32479783944365687, acc: 0.8091077421594722, val loss: 0.7728795786043191, acc: 0.6884802595997837, test loss: 0.7805044204958024, acc: 0.692741935483871
epoch: 116, train loss: 0.3111292395088466, acc: 0.820796204143039, val loss: 0.784324493841457, acc: 0.7044348296376419, test loss: 0.781152569863104, acc: 0.6978494623655914
epoch: 117, train loss: 0.31542699314380546, acc: 0.8208540678162249, val loss: 0.8330273615340402, acc: 0.6730665224445647, test loss: 0.8493624482103573, acc: 0.6709677419354839
epoch: 118, train loss: 0.31230185218754636, acc: 0.8152412915171855, val loss: 0.7775388536355249, acc: 0.701460248783126, test loss: 0.7901637861805577, acc: 0.696505376344086
epoch: 119, train loss: 0.3147246469165313, acc: 0.8148941094780696, val loss: 0.8528710024107979, acc: 0.6822606814494321, test loss: 0.827874457451605, acc: 0.6739247311827957
epoch: 120, train loss: 0.32433593374906683, acc: 0.8115380164332832, val loss: 0.777864015315145, acc: 0.7036235803136831, test loss: 0.7661229190006051, acc: 0.6978494623655914
